Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,Flag,Profit,Weight,,
A171,11461399248952200,12/1/20,20025014,L,12,A171,36.09,33.51,5.41,17.19,10.91,8.75,1,2.58,4.1,,
A172,11382146077205814,12/1/20,20025015,L,12,A172,71.35,74.87,10.7,50.83,13.34,9.5,1,-3.52,6,,
A173,11433598333586649,12/1/20,20025020,L,1,A173,30.72,32.12,4.61,19.26,8.25,6.99,1,-1.4,1.5,,
A174,11138032734823405,12/1/20,20025016,L,1,A174,12.77,9.28,1.92,4.08,3.28,4.75,1,3.49,0.11,,
A175,11108066910239450,12/1/20,20025019,L,6,A175,48.82,47.58,7.32,31.43,8.83,9.5,1,1.24,6,,
A176,11110398600012246,12/1/20,20025018,L,6,A176,27.18,26.06,4.08,11.86,10.12,7.99,1,1.12,3.33,,
A177,11102146550566637,12/1/20,20025024,L,4,A177,72.12,58.12,10.82,16.74,30.56,19,1,14,39.2,,
A178,11310049306496248,12/1/20,20025022,L,1,A178,17.4,16.19,2.61,9.99,3.59,4.75,1,1.21,0.2,,
A179,11300111144340200,12/1/20,20025025,L,12,A179,48.62,51.07,7.29,31.76,12.02,9.99,1,-2.45,13.46,,
A180,11396867185149806,12/1/20,20025026,L,8,A180,22.87,23.63,3.43,11.16,9.04,5.75,1,-0.76,3.7,,
A181,11398849470825067,12/1/20,20025029,L,6,A181,28.68,32.21,4.3,14.92,12.99,9.99,1,-3.53,13.6,,
A182,11486222000220268,12/1/20,20025030,L,6,A182,39.29,34.02,4.71,21.18,8.13,6.99,1,5.27,1.68,,
A183,11187835563501018,12/1/20,20025033,L,1,A183,20.96,18.64,3.14,11.95,3.55,4.75,1,2.32,0.23,,
A184,11489247990872221,12/1/20,20025032,L,1,A184,26.28,22.83,3.94,15.3,3.59,6.99,1,3.45,0.37,,
A185,11151363782238622,12/1/20,20025034,L,6,A185,26.51,28.74,3.98,15.3,9.46,7.5,1,-2.23,1.92,,
A186,11378182474612211,12/1/20,20025036,L,72,A186,438.12,431.46,65.76,153,212.7,250,1,6.66,317.52,,
A187,11410192559018630,12/1/20,20025035,L,3,A187,18.53,16.61,2.78,9.18,4.65,5.75,1,1.92,0.78,,
A188,11392190807201842,12/1/20,20025037,L,48,A188,151.36,132.46,22.72,89.52,20.22,11.99,1,18.9,17.6,,
